,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,24.6,42.7,25.8,NA,10.835,0,10.835,6.36,0,6.36,0,0,10.84,6.36,0,6.36,0,0,NA,NA,NA,1.687,1.176,1.067,0.739,0.58,0.603,0.507,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24,43.5,26.6,NA,11.084,0,11.084,6.148,0,6.148,0,0,21.92,12.51,0,12.51,0,0,NA,NA,NA,1.548,1.136,1.049,0.735,0.576,0.599,0.504,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,20.8,43.7,27.7,NA,9.628,0,9.628,1.081,0,1.081,0,0,31.55,13.59,0,13.59,0,0,NA,NA,NA,0.888,0.12,0.041,0.015,0.008,0.006,0.003,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,16.8,43.3,28.4,NA,7.647,0,7.647,1.036,0,1.036,0,0,39.19,14.62,0,14.62,0,0,NA,NA,NA,0.843,0.119,0.041,0.015,0.008,0.006,0.003,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,18.6,42.2,27.6,NA,8.036,0,8.036,6.103,0,6.103,0,0,47.23,20.73,0,20.73,0,0,NA,NA,NA,1.566,1.118,1.035,0.726,0.567,0.592,0.499,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,21.6,41.9,27.6,NA,9.377,0,9.377,6.059,0,6.059,0,0,56.61,26.79,0,26.79,0,0,NA,NA,NA,1.554,1.112,1.033,0.723,0.558,0.585,0.493,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,24.7,39.7,28.8,NA,9.652,0,9.652,1.081,0,1.081,0,0,66.26,27.87,0,27.87,0,0,NA,NA,NA,0.892,0.118,0.041,0.015,0.008,0.005,0.003,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,16.2,38.3,28.3,NA,5.876,0,5.876,0.999,0,0.999,0,0,72.14,28.87,0,28.87,0,0,NA,NA,NA,0.81,0.117,0.041,0.015,0.008,0.005,0.003,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,23.6,38.8,28.4,NA,8.741,0,8.741,0.925,0,0.925,0,0,80.88,29.79,0,29.79,0,0,NA,NA,NA,0.737,0.116,0.041,0.015,0.008,0.005,0.003,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,10.6,34.4,28.4,NA,3.197,0,3.197,1.031,0,1.031,0,0,84.07,30.82,0,30.82,0,0,NA,NA,NA,0.841,0.117,0.041,0.015,0.008,0.005,0.003,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,25.1,34.1,27.3,NA,7.603,0,7.603,1.127,0,1.127,0,0,91.68,31.95,0,31.95,0,0,NA,NA,NA,0.936,0.118,0.041,0.015,0.008,0.005,0.003,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,15.9,39.9,27.1,NA,6.192,0,6.192,1.041,0,1.041,0,0,97.87,32.99,0,32.99,0,0,NA,NA,NA,0.851,0.118,0.041,0.015,0.008,0.005,0.003,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,19.8,40.2,26.4,NA,7.752,0,7.752,0.963,0,0.963,0,0,105.62,33.95,0,33.95,0,0,NA,NA,NA,0.774,0.117,0.041,0.015,0.008,0.005,0.003,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,12.8,36.8,27.3,NA,4.253,0,4.253,0.891,0,0.891,0,0,109.87,34.84,0,34.84,0,0,NA,NA,NA,0.703,0.116,0.041,0.015,0.008,0.005,0.003,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,23.5,36.2,27.7,NA,7.56,0,7.56,0.827,0,0.827,0,0,117.43,35.67,0,35.67,0,0,NA,NA,NA,0.639,0.116,0.041,0.015,0.007,0.005,0.003,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,25.4,39.5,26.1,NA,9.506,0,9.506,0.768,0,0.768,0,0,126.94,36.44,0,36.44,0,0,NA,NA,NA,0.581,0.115,0.04,0.015,0.007,0.005,0.003,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,24.6,41.3,26.4,NA,9.99,0,9.99,1.017,0,1.017,0,0,136.93,37.45,0,37.45,0,0,NA,NA,NA,0.826,0.119,0.041,0.015,0.007,0.005,0.003,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,25,42.4,25.5,NA,10.899,0,10.899,6.124,0,6.124,0,0,147.83,43.58,0,43.58,0,0,NA,NA,NA,1.644,1.128,1.03,0.71,0.549,0.576,0.487,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,19.1,38.9,24.7,NA,7.038,0,7.038,5.865,0,5.865,0,0,154.86,49.44,0,49.44,0,0,NA,NA,NA,1.465,1.094,1.02,0.695,0.54,0.568,0.482,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,17.4,39.1,26.1,NA,6.48,0,6.48,1.026,0,1.026,0,0,161.34,50.47,0,50.47,0,0,NA,NA,NA,0.84,0.116,0.04,0.014,0.007,0.005,0.003,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,24.2,35.6,25.6,NA,7.487,0,7.487,5.902,0,5.902,0,0,168.83,56.37,0,56.37,0,0,NA,NA,NA,1.536,1.1,1.017,0.681,0.531,0.561,0.476,0,0
